name,number,start_left,end_left,start_right,end_right,start,end,length,start_amplicon,end_amplicon
nCoV-2019_89_pool1,89,26835,26856,27202,27226,26835,27226,391,26891,27162
nCoV-2019_90_pool2,90,27141,27163,27511,27532,27141,27532,391,27203,27469
nCoV-2019_91_pool1,91,27446,27470,27825,27853,27446,27853,407,27512,27806
nCoV-2019_92_pool2,92,27784,27807,28145,28171,27784,28171,387,27826,28102
nCoV-2019_93_pool1,93,28081,28103,28442,28463,28081,28463,382,28146,28414
nCoV-2019_94_pool2,94,28394,28415,28756,28778,28394,28778,384,28443,28697
nCoV-2019_95_pool1,95,28677,28698,29041,29062,28677,29062,385,28757,29005
nCoV-2019_96_pool2,96,28985,29006,29356,29377,28985,29377,392,29042,29314
nCoV-2019_97_pool1,97,29288,29315,29665,29692,29288,29692,404,29357,29508
nCoV-2019_98_pool2,98,29486,29509,29836,29865,29486,29865,379,29666,29836
