,name,number,start_left,end_left,start_right,end_right,start,end,start_amplicon,end_amplicon
49,SARS-CoV-2_50,50,5693,5717,5933,5957,5693,5957,5718,5932
50,SARS-CoV-2_51,51,5833,5857,6074,6098,5833,6098,5858,6073
51,SARS-CoV-2_52,52,6003,6027,6248,6272,6003,6272,6028,6247
52,SARS-CoV-2_53,53,6100,6124,6339,6363,6100,6363,6125,6338
53,SARS-CoV-2_54,54,6269,6293,6513,6537,6269,6537,6294,6512
54,SARS-CoV-2_55,55,6356,6380,6608,6632,6356,6632,6381,6607
55,SARS-CoV-2_56,56,6542,6566,6729,6753,6542,6753,6567,6728
56,SARS-CoV-2_57,57,6626,6650,6830,6854,6626,6854,6651,6829
57,SARS-CoV-2_58,58,6780,6804,7018,7042,6780,7042,6805,7017
58,SARS-CoV-2_59,59,6859,6883,7100,7124,6859,7124,6884,7099
59,SARS-CoV-2_60,60,7038,7062,7284,7308,7038,7308,7063,7283
60,SARS-CoV-2_61,61,7125,7149,7361,7385,7125,7385,7150,7360
61,SARS-CoV-2_62,62,7308,7332,7552,7576,7308,7576,7333,7551
62,SARS-CoV-2_63,63,7402,7426,7642,7666,7402,7666,7427,7641
63,SARS-CoV-2_64,64,7575,7599,7755,7779,7575,7779,7600,7754
64,SARS-CoV-2_65,65,7663,7687,7915,7939,7663,7939,7688,7914
65,SARS-CoV-2_66,66,7788,7812,8022,8046,7788,8046,7813,8021
66,SARS-CoV-2_67,67,7930,7954,8158,8182,7930,8182,7955,8157
67,SARS-CoV-2_68,68,8075,8099,8324,8348,8075,8348,8100,8323
68,SARS-CoV-2_69,69,8179,8203,8421,8445,8179,8445,8204,8420
69,SARS-CoV-2_70,70,8340,8364,8490,8514,8340,8514,8365,8489
70,SARS-CoV-2_71,71,8440,8464,8690,8714,8440,8714,8465,8689
71,SARS-CoV-2_72,72,8527,8551,8761,8785,8527,8785,8552,8760
72,SARS-CoV-2_73,73,8709,8733,8875,8899,8709,8899,8734,8874
73,SARS-CoV-2_74,74,8777,8801,9005,9029,8777,9029,8802,9004
74,SARS-CoV-2_75,75,8890,8914,9132,9156,8890,9156,8915,9131
75,SARS-CoV-2_76,76,9031,9055,9199,9223,9031,9223,9056,9198
76,SARS-CoV-2_77,77,9155,9179,9391,9415,9155,9415,9180,9390
77,SARS-CoV-2_78,78,9228,9252,9477,9501,9228,9501,9253,9476
78,SARS-CoV-2_79,79,9408,9432,9644,9668,9408,9668,9433,9643
79,SARS-CoV-2_80,80,9538,9562,9781,9805,9538,9805,9563,9780
81,SARS-CoV-2_82,82,9663,9687,9906,9930,9663,9930,9688,9905
82,SARS-CoV-2_83,83,9833,9857,10072,10096,9833,10096,9858,10071
83,SARS-CoV-2_84,84,9929,9953,10153,10177,9929,10177,9954,10152
84,SARS-CoV-2_85,85,10091,10115,10331,10355,10091,10355,10116,10330
85,SARS-CoV-2_86,86,10169,10193,10415,10439,10169,10439,10194,10414
86,SARS-CoV-2_87,87,10355,10379,10603,10627,10355,10627,10380,10602
87,SARS-CoV-2_88,88,10429,10453,10680,10704,10429,10704,10454,10679
88,SARS-CoV-2_89,89,10632,10656,10870,10894,10632,10894,10657,10869
89,SARS-CoV-2_90,90,10695,10719,10948,10972,10695,10972,10720,10947
90,SARS-CoV-2_91,91,10890,10914,11108,11132,10890,11132,10915,11107
91,SARS-CoV-2_92,92,10969,10993,11219,11243,10969,11243,10994,11218
92,SARS-CoV-2_93,93,11129,11153,11366,11390,11129,11390,11154,11365
93,SARS-CoV-2_94,94,11236,11260,11478,11502,11236,11502,11261,11477
94,SARS-CoV-2_95,95,11387,11411,11634,11658,11387,11658,11412,11633
95,SARS-CoV-2_96,96,11499,11523,11731,11755,11499,11755,11524,11730
96,SARS-CoV-2_97,97,11661,11685,11909,11933,11661,11933,11686,11908
97,SARS-CoV-2_98,98,11748,11772,11997,12021,11748,12021,11773,11996
98,SARS-CoV-2_99,99,11928,11952,12168,12192,11928,12192,11953,12167
99,SARS-CoV-2_100,100,12025,12049,12260,12284,12025,12284,12050,12259
100,SARS-CoV-2_101,101,12203,12227,12447,12471,12203,12471,12228,12446
101,SARS-CoV-2_102,102,12276,12300,12520,12544,12276,12544,12301,12519
102,SARS-CoV-2_103,103,12467,12491,12711,12735,12467,12735,12492,12710
103,SARS-CoV-2_104,104,12539,12563,12791,12815,12539,12815,12564,12790
104,SARS-CoV-2_105,105,12749,12773,12999,13023,12749,13023,12774,12998
105,SARS-CoV-2_106,106,12810,12834,13055,13079,12810,13079,12835,13054
106,SARS-CoV-2_107,107,13014,13038,13233,13257,13014,13257,13039,13232
107,SARS-CoV-2_108,108,13081,13105,13322,13346,13081,13346,13106,13321
108,SARS-CoV-2_109,109,13261,13285,13510,13534,13261,13534,13286,13509
109,SARS-CoV-2_110,110,13338,13362,13441,13465,13338,13465,13363,13440
110,SARS-CoV-2_111,111,13460,13484,13706,13730,13460,13730,13485,13705
111,SARS-CoV-2_112,112,13525,13549,13773,13797,13525,13797,13550,13772
112,SARS-CoV-2_113,113,13727,13751,13966,13990,13727,13990,13752,13965
113,SARS-CoV-2_114,114,13795,13819,14037,14061,13795,14061,13820,14036
114,SARS-CoV-2_115,115,13977,14001,14207,14231,13977,14231,14002,14206
115,SARS-CoV-2_116,116,14075,14099,14320,14344,14075,14344,14100,14319
116,SARS-CoV-2_117,117,14228,14252,14473,14497,14228,14497,14253,14472
117,SARS-CoV-2_118,118,14386,14410,14551,14575,14386,14575,14411,14550
118,SARS-CoV-2_119,119,14491,14515,14729,14753,14491,14753,14516,14728
119,SARS-CoV-2_120,120,14625,14649,14876,14900,14625,14900,14650,14875
120,SARS-CoV-2_121,121,14753,14777,15006,15030,14753,15030,14778,15005
121,SARS-CoV-2_122,122,14893,14917,15093,15117,14893,15117,14918,15092
122,SARS-CoV-2_123,123,15025,15049,15265,15289,15025,15289,15050,15264
123,SARS-CoV-2_124,124,15109,15133,15348,15372,15109,15372,15134,15347
124,SARS-CoV-2_125,125,15284,15308,15522,15546,15284,15546,15309,15521
125,SARS-CoV-2_126,126,15363,15387,15583,15607,15363,15607,15388,15582
126,SARS-CoV-2_127,127,15536,15560,15742,15766,15536,15766,15561,15741
127,SARS-CoV-2_128,128,15601,15625,15846,15870,15601,15870,15626,15845
128,SARS-CoV-2_129,129,15757,15781,16000,16024,15757,16024,15782,15999
129,SARS-CoV-2_130,130,15867,15891,16065,16089,15867,16089,15892,16064
130,SARS-CoV-2_131,131,16020,16044,16267,16291,16020,16291,16045,16266
131,SARS-CoV-2_132,132,16107,16131,16308,16332,16107,16332,16132,16307
132,SARS-CoV-2_133,133,16281,16305,16467,16491,16281,16491,16306,16466
133,SARS-CoV-2_134,134,16331,16355,16573,16597,16331,16597,16356,16572
134,SARS-CoV-2_135,135,16484,16508,16734,16758,16484,16758,16509,16733
135,SARS-CoV-2_136,136,16601,16625,16838,16862,16601,16862,16626,16837
136,SARS-CoV-2_137,137,16748,16772,16994,17018,16748,17018,16773,16993
137,SARS-CoV-2_138,138,16855,16879,17093,17117,16855,17117,16880,17092
138,SARS-CoV-2_139,139,17015,17039,17227,17251,17015,17251,17040,17226
139,SARS-CoV-2_140,140,17111,17135,17328,17352,17111,17352,17136,17327
140,SARS-CoV-2_141,141,17240,17264,17456,17480,17240,17480,17265,17455
141,SARS-CoV-2_142,142,17353,17377,17584,17608,17353,17608,17378,17583
142,SARS-CoV-2_143,143,17471,17495,17713,17737,17471,17737,17496,17712
143,SARS-CoV-2_144,144,17623,17647,17864,17888,17623,17888,17648,17863
144,SARS-CoV-2_145,145,17729,17753,17976,18000,17729,18000,17754,17975
145,SARS-CoV-2_146,146,17887,17911,18111,18135,17887,18135,17912,18110
146,SARS-CoV-2_147,147,18001,18025,18247,18271,18001,18271,18026,18246
147,SARS-CoV-2_148,148,18143,18167,18390,18414,18143,18414,18168,18389
148,SARS-CoV-2_149,149,18264,18288,18489,18513,18264,18513,18289,18488
149,SARS-CoV-2_150,150,18434,18458,18670,18694,18434,18694,18459,18669
150,SARS-CoV-2_151,151,18504,18528,18751,18775,18504,18775,18529,18750
151,SARS-CoV-2_152,152,18710,18734,18887,18911,18710,18911,18735,18886
152,SARS-CoV-2_153,153,18781,18805,19009,19033,18781,19033,18806,19008
153,SARS-CoV-2_154,154,18903,18927,19147,19171,18903,19171,18928,19146
154,SARS-CoV-2_155,155,19025,19049,19264,19288,19025,19288,19050,19263
155,SARS-CoV-2_156,156,19169,19193,19399,19423,19169,19423,19194,19398
156,SARS-CoV-2_157,157,19279,19303,19527,19551,19279,19551,19304,19526
157,SARS-CoV-2_158,158,19431,19455,19674,19698,19431,19698,19456,19673
158,SARS-CoV-2_159,159,19555,19579,19802,19826,19555,19826,19580,19801
159,SARS-CoV-2_160,160,19708,19732,19958,19982,19708,19982,19733,19957
160,SARS-CoV-2_161,161,19823,19847,20069,20093,19823,20093,19848,20068
161,SARS-CoV-2_162,162,19988,20012,20232,20256,19988,20256,20013,20231
162,SARS-CoV-2_163,163,20088,20112,20333,20357,20088,20357,20113,20332
163,SARS-CoV-2_164,164,20271,20295,20457,20481,20271,20481,20296,20456
164,SARS-CoV-2_165,165,20356,20380,20605,20629,20356,20629,20381,20604
165,SARS-CoV-2_166,166,20474,20498,20684,20708,20474,20708,20499,20683
166,SARS-CoV-2_167,167,20625,20649,20876,20900,20625,20900,20650,20875
167,SARS-CoV-2_168,168,20739,20763,20985,21009,20739,21009,20764,20984
168,SARS-CoV-2_169,169,20891,20915,21143,21167,20891,21167,20916,21142
169,SARS-CoV-2_170,170,21007,21031,21199,21223,21007,21223,21032,21198
170,SARS-CoV-2_171,171,21163,21187,21256,21280,21163,21280,21188,21255
171,SARS-CoV-2_172,172,21222,21246,21346,21370,21222,21370,21247,21345
172,SARS-CoV-2_173,173,21285,21309,21532,21556,21285,21556,21310,21531
173,SARS-CoV-2_174,174,21427,21451,21665,21689,21427,21689,21452,21664
174,SARS-CoV-2_175,175,21573,21597,21803,21827,21573,21827,21598,21802
175,SARS-CoV-2_176,176,21733,21757,21974,21998,21733,21998,21758,21973
176,SARS-CoV-2_177,177,21823,21847,22059,22083,21823,22083,21848,22058
177,SARS-CoV-2_178,178,22001,22025,22193,22217,22001,22217,22026,22192
178,SARS-CoV-2_179,179,22076,22100,22320,22344,22076,22344,22101,22319
179,SARS-CoV-2_180,180,22222,22246,22447,22471,22222,22471,22247,22446
180,SARS-CoV-2_181,181,22344,22368,22582,22606,22344,22606,22369,22581
181,SARS-CoV-2_182,182,22470,22494,22686,22710,22470,22710,22495,22685
182,SARS-CoV-2_183,183,22599,22623,22835,22859,22599,22859,22624,22834
183,SARS-CoV-2_184,184,22769,22793,22968,22992,22769,22992,22794,22967
184,SARS-CoV-2_185,185,22852,22876,23049,23073,22852,23073,22877,23048
185,SARS-CoV-2_186,186,22984,23008,23225,23249,22984,23249,23009,23224
186,SARS-CoV-2_187,187,23065,23089,23291,23315,23065,23315,23090,23290
187,SARS-CoV-2_188,188,23245,23269,23444,23468,23245,23468,23270,23443
188,SARS-CoV-2_189,189,23311,23335,23540,23564,23311,23564,23336,23539
189,SARS-CoV-2_190,190,23462,23486,23643,23667,23462,23667,23487,23642
190,SARS-CoV-2_191,191,23556,23580,23725,23749,23556,23749,23581,23724
191,SARS-CoV-2_192,192,23659,23683,23896,23920,23659,23920,23684,23895
192,SARS-CoV-2_193,193,23743,23767,23979,24003,23743,24003,23768,23978
193,SARS-CoV-2_194,194,23917,23941,24107,24131,23917,24131,23942,24106
194,SARS-CoV-2_195,195,23997,24021,24192,24216,23997,24216,24022,24191
195,SARS-CoV-2_196,196,24124,24148,24358,24382,24124,24382,24149,24357
196,SARS-CoV-2_197,197,24205,24229,24425,24449,24205,24449,24230,24424
197,SARS-CoV-2_198,198,24388,24412,24565,24589,24388,24589,24413,24564
198,SARS-CoV-2_199,199,24441,24465,24680,24704,24441,24704,24466,24679
199,SARS-CoV-2_200,200,24588,24612,24807,24831,24588,24831,24613,24806
200,SARS-CoV-2_201,201,24700,24724,24944,24968,24700,24968,24725,24943
201,SARS-CoV-2_202,202,24826,24850,25070,25094,24826,25094,24851,25069
202,SARS-CoV-2_203,203,24966,24990,25211,25235,24966,25235,24991,25210
203,SARS-CoV-2_204,204,25098,25122,25326,25350,25098,25350,25123,25325
204,SARS-CoV-2_205,205,25227,25251,25478,25502,25227,25502,25252,25477
205,SARS-CoV-2_206,206,25348,25372,25567,25591,25348,25591,25373,25566
206,SARS-CoV-2_207,207,25488,25512,25623,25647,25488,25647,25513,25622
207,SARS-CoV-2_208,208,25587,25611,25798,25822,25587,25822,25612,25797
208,SARS-CoV-2_209,209,25642,25666,25888,25912,25642,25912,25667,25887
209,SARS-CoV-2_210,210,25820,25844,26045,26069,25820,26069,25845,26044
210,SARS-CoV-2_211,211,25906,25930,26132,26156,25906,26156,25931,26131
211,SARS-CoV-2_212,212,26065,26089,26308,26332,26065,26332,26090,26307
212,SARS-CoV-2_213,213,26144,26168,26352,26376,26144,26376,26169,26351
213,SARS-CoV-2_214,214,26327,26351,26541,26565,26327,26565,26352,26540
214,SARS-CoV-2_215,215,26365,26389,26606,26630,26365,26630,26390,26605
215,SARS-CoV-2_216,216,26564,26588,26801,26825,26564,26825,26589,26800
216,SARS-CoV-2_217,217,26627,26651,26848,26872,26627,26872,26652,26847
217,SARS-CoV-2_218,218,26815,26839,27033,27057,26815,27057,26840,27032
218,SARS-CoV-2_219,219,26867,26891,27097,27121,26867,27121,26892,27096
219,SARS-CoV-2_220,220,27052,27076,27185,27209,27052,27209,27077,27184
220,SARS-CoV-2_221,221,27109,27133,27350,27374,27109,27374,27134,27349
221,SARS-CoV-2_222,222,27208,27232,27454,27478,27208,27478,27233,27453
222,SARS-CoV-2_223,223,27372,27396,27597,27621,27372,27621,27397,27596
223,SARS-CoV-2_224,224,27475,27499,27702,27726,27475,27726,27500,27701
224,SARS-CoV-2_225,225,27611,27635,27855,27879,27611,27879,27636,27854
225,SARS-CoV-2_226,226,27725,27749,27919,27943,27725,27943,27750,27918
226,SARS-CoV-2_227,227,27872,27896,28084,28108,27872,28108,27897,28083
227,SARS-CoV-2_228,228,27939,27963,28187,28211,27939,28211,27964,28186
228,SARS-CoV-2_229,229,28099,28123,28337,28361,28099,28361,28124,28336
229,SARS-CoV-2_230,230,28216,28240,28463,28487,28216,28487,28241,28462
230,SARS-CoV-2_231,231,28350,28374,28607,28631,28350,28631,28375,28606
231,SARS-CoV-2_232,232,28489,28513,28739,28763,28489,28763,28514,28738
232,SARS-CoV-2_233,233,28617,28641,28860,28884,28617,28884,28642,28859
233,SARS-CoV-2_234,234,28753,28777,28998,29022,28753,29022,28778,28997
234,SARS-CoV-2_235,235,28878,28902,28957,28981,28878,28981,28903,28956
235,SARS-CoV-2_236,236,28971,28995,29207,29231,28971,29231,28996,29206
236,SARS-CoV-2_237,237,29016,29040,29257,29281,29016,29281,29041,29256
237,SARS-CoV-2_238,238,29212,29236,29458,29482,29212,29482,29237,29457
238,SARS-CoV-2_239,239,29283,29307,29530,29554,29283,29554,29308,29529
239,SARS-CoV-2_240,240,29474,29498,29728,29752,29474,29752,29499,29727
240,SARS-CoV-2_241,241,29569,29593,29787,29811,29569,29811,29594,29786
241,SARS-CoV-2_242,242,29730,29754,29843,29867,29730,29867,29755,29842
